p,m,n,q,df,skewness,kurtosis,distribution,method,convergence rate,mean of a,median of a,max of a,min of a,rmse,biase of se,Type I error rate of T,Type I error rate of T_SB,Type I error rate of T_JY
21,3,300,45,186,4.584711587,1.622924813,elliptical,dls,1,0.981545317,0.982545856,0.992991206,0.945140538,0.116790887,0.051721326,0.998,0.072,0.072
21,3,300,45,186,4.585883658,1.622887489,elliptical,wls,0.988,0,0,0,0,0.398285347,0.36951732,1,1,1
21,3,300,45,186,9.188246005,1.954267764,skewed,gls,0.999,1,1,1,1,0.294279078,0.013104422,0.992992993,0.068068068,0.068068068
21,3,300,45,186,9.188246005,1.954267764,skewed,dls,0.999,0.936773615,0.94061987,0.984138626,0.843659629,0.20027983,0.120916608,0.974974975,0.137137137,0.137137137
21,3,300,45,186,9.150363316,1.950800802,skewed,wls,0.921,0,0,0,0,0.510650454,0.469932848,1,1,1
21,3,500,45,186,0.991773739,0.995951997,normal,gls,1,1,1,1,1,0.059279998,0.002779114,0.058,0.065,0.065
21,3,500,45,186,0.991773739,0.995951997,normal,dls,1,0.998140054,1,1,0.971063338,0.05927755,0.002820062,0.058,0.066,0.066
21,3,500,45,186,0.991773739,0.995951997,normal,wls,1,0,0,0,0,0.09146608,0.046321858,0.997,0.997,0.997
21,3,500,45,186,6.381128299,1.782142709,elliptical,gls,0.999,1,1,1,1,0.103642663,0.007386487,1,0.061061061,0.061061061
21,3,500,45,186,6.381128299,1.782142709,elliptical,dls,0.999,0.970187052,0.97086183,0.992752187,0.928635553,0.097002612,0.050684004,1,0.056056056,0.056056056
21,3,500,45,186,6.381128299,1.782142709,elliptical,wls,0.999,0,0,0,0,0.294643269,0.279110182,0.998998999,0.998998999,0.998998999
21,3,500,45,186,15.43896582,2.223789584,skewed,gls,1,1,1,1,1,0.200809399,0.007678998,0.996,0.048,0.048
21,3,500,45,186,15.43896582,2.223789584,skewed,dls,1,0.91668969,0.920683456,0.985992793,0.77417588,0.167510811,0.107926229,0.97,0.086,0.086
21,3,500,45,186,15.41560312,2.222711435,skewed,wls,0.997,0,0,0,0,0.381291464,0.35571951,0.998996991,0.998996991,0.998996991
21,3,1000,45,186,0.996422175,0.997834722,normal,gls,0.999,1,1,1,1,0.043716558,0.001605927,0.053053053,0.057057057,0.057057057
21,3,1000,45,186,0.996422175,0.997834722,normal,dls,0.999,0.997000936,1,1,0.957930879,0.043714244,0.001652017,0.053053053,0.057057057,0.057057057
21,3,1000,45,186,0.996422175,0.997834722,normal,wls,0.999,0,0,0,0,0.055367221,0.023227679,0.70970971,0.70970971,0.70970971
21,3,1000,45,186,10.56202639,2.022944456,elliptical,gls,0.999,1,1,1,1,0.07828655,0.00261468,1,0.066066066,0.066066066
21,3,1000,45,186,10.56202639,2.022944456,elliptical,dls,0.999,0.948750332,0.949090237,0.996378171,0.863274855,0.07533718,0.044276774,1,0.057057057,0.057057057
21,3,1000,45,186,10.56202639,2.022944456,elliptical,wls,0.999,0,0,0,0,0.202925649,0.19292909,0.762762763,0.762762763,0.762762763
21,3,1000,45,186,31.33867149,2.602311387,skewed,gls,0.999,1,1,1,1,0.137094183,0.005419546,1,0.046046046,0.046046046
21,3,1000,45,186,31.33867149,2.602311387,skewed,dls,0.999,0.878228092,0.88228209,0.992320627,0.700977067,0.133547107,0.090203813,0.984984985,0.064064064,0.064064064
21,3,1000,45,186,31.33867149,2.602311387,skewed,wls,0.999,0,0,0,0,0.265129936,0.248747793,0.74974975,0.74974975,0.74974975
